,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
0,RajendraDubey13,"निस्वार्थ, सत्य प्रिय, जन हितैषी",India,393,330,7917,41,"#BigUpdate
@_YogendraYadav को ""सयुक्त किसान मोर्चे"" से सस्पेंड कर दिया गया!
वह भाजपा कार्यकर्ता के घर गए थे जो #लखीमपुर_किसान_नरसंहार के लिए जिम्मेदार थे!

#FarmersProtest",['BigUpdate']
1,sransandeep78,,,347,107,16413,0,It’s bcoz of disastrous policy of @narendramodi #PetrolDieselPriceHike #BJP_KillerOfFarmers #FarmersProtest #LakhimpurKheriMassacre #किसान_नही_झुकेगा #लखीमपुर_किसान_नरसंहार https://t.co/glvL09NAzz,"['PetrolDieselPriceHike', 'BJP_KillerOfFarmers', 'FarmersProtest', 'LakhimpurKheriMassacre', 'किसान_नही_झुकेगा', 'लखीमपुर_किसान_नरसंहार']"
2,vxkkysxngh,Sikh | All things Bhangra/Panjabi/Folk | Content editor | Online promoter | I do music video edits in my spare time | Bhangraholic | #FreeJaggiNow,"West London, United Kingdom",2069,252,41856,1,We will fight till repeal anti farm laws👊👊 #farmerslivesmatter #farmersprotest #nofarmersnofood #kisaanmajdoorektazindabad #dictatormodi KISAN #yogijhootahai #rail_roko_andolan #whymodifoolingfarmers #लखीमपुर_किसान_नरसंहार #bjp_rss_againstfarmers #speakloud #fightforrights https://t.co/3cshN9KB9d,"['farmerslivesmatter', 'farmersprotest', 'nofarmersnofood']"
3,NBidhuna,Simple living high thinking,,1517,991,2818,8,"इस सरकार की नीयत ओर इरादे #किसान विरोधी है, इतने ज़ुल्म के बाद भी सरकार अन्नदाता के साथ न्याय नही करना चाहतीं हैं !
#लखीमपुर_किसान_नरसंहार 
@yadavakhilesh @dimpleyadav @samajwadiparty @MPDharmendraYdv @ARajesh_SP @yadavpoojasp @RachnaSinghSP @RichaSingh_Alld @SudhirY50438177 https://t.co/nAWU8lwHty",['किसान']
4,PrabMangat7,,,12,11,136,3201,"As dawn breaks, mourning families and farmers with the bodies of the martyred farmers in yesterday's incidents in Lakhimpur Kheri.

#लखीमपुर_किसान_नरसंहार https://t.co/90ueUkjmaO",[]
5,ujaagar,,,3888,2693,192767,8,"इस सरकार की नीयत ओर इरादे #किसान विरोधी है, इतने ज़ुल्म के बाद भी सरकार अन्नदाता के साथ न्याय नही करना चाहतीं हैं !
#लखीमपुर_किसान_नरसंहार 
@yadavakhilesh @dimpleyadav @samajwadiparty @MPDharmendraYdv @ARajesh_SP @yadavpoojasp @RachnaSinghSP @RichaSingh_Alld @SudhirY50438177 https://t.co/nAWU8lwHty",['किसान']
6,jkhangura3,"ਸਾਡੀ ਚੁੱਪ ਨੂੰ ਕਦੇ ਬੇਵਸੀ ਨਾ ਸਮਝੀ , ਸਾਨੂੰ ਬੋਲਣਾ ਵੀ ਆਉਦਾ ਤੇ ਰੋਲਣਾ ਵੀ
kisan majdor Ekta jindabaad 📢","Abu Dhabi, United Arab Emirate",132,265,1318,11,"#BigUpdate
@_YogendraYadav को ""सयुक्त किसान मोर्चे"" से सस्पेंड कर दिया गया!
वह भाजपा कार्यकर्ता के घर गए थे जो #लखीमपुर_किसान_नरसंहार के लिए जिम्मेदार थे!

#FarmersProtest #DirtyPoliticsAgainstFarmers https://t.co/K5IBeiu5bT",['BigUpdate']
7,jkhangura3,"ਸਾਡੀ ਚੁੱਪ ਨੂੰ ਕਦੇ ਬੇਵਸੀ ਨਾ ਸਮਝੀ , ਸਾਨੂੰ ਬੋਲਣਾ ਵੀ ਆਉਦਾ ਤੇ ਰੋਲਣਾ ਵੀ
kisan majdor Ekta jindabaad 📢","Abu Dhabi, United Arab Emirate",132,265,1318,31,"ਨਿਹੰਗ ਸਿੰਘਾਂ ਤੇ ਕਿਸਾਨਾਂ ਵਿੱਚ ਉਲਝਾ ਕੇ ਬੜੇ ਤਰੀਕੇ ਨਾਲ ਸਾਨੂੰ ਮੁੱਦੇ ਤੋਂ ਭਟਕਾਇਆ ਜਾ ਰਿਹੈ।
ਸ਼ਹੀਦਾਂ ਦੇ ਮਾਤਾ-ਪਿਤਾ ਨੂੰ ਹਲੇ ਵੀ ਇਨਸਾਫ਼ ਨੀ ਮਿਲਿਆ,
ਉਹਨਾਂ ਦੇ ਭੈਣ-ਭਰਾਵਾਂ ਦਾ ਦਰਦ ਅੱਜ ਵੀ ਓਨਾ ਹੀ ਐ,
ਲਖੀਮਪੁਰ ਵਾਲਾ ਕਤਲੇਆਮ ਕਿਤੇ ਭੁਲਾ ਨਾ ਬੈਠੀਏ!!

#लखीमपुर_किसान_नरसंहार
#FarmersProtest https://t.co/jBKkPX9siD",[]
8,sransandeep78,,,347,107,16413,0,@narendramodi What about about 800 farmers lost lives because of your ego and ur Home minister who mowed down and massacared farmers in lakhmirpur kheri #FarmersProtest #लखीमपुर_किसान_नरसंहार #DirtyPoliticsAgainstFarmers #BJP_KillerOfFarmers #किसान_नही_झुकेगा #LakhimpurKheriMassacre https://t.co/9ecaBJCMRh,"['FarmersProtest', 'लखीमपुर_किसान_नरसंहार', 'DirtyPoliticsAgainstFarmers', 'BJP_KillerOfFarmers', 'किसान_नही_झुकेगा', 'LakhimpurKheriMassacre']"
9,MSinghFaridabad,"Mohan Singh, Chairmain and MD Hind Presses and Automation Private Limited. Ex. Director,Hind Hydraulics & Engineers. Hydraulic Presses,SPMs,",Faridabad,3346,1068,5339,23,"ਪੀਂਘਾਂ ਪਵਾ ਕੇ ਤੁਰ ਗਏ ਓ,
ਚੁੰਨੀਆਂ ਰੰਗਾ ਕੇ ਤੁਰ ਗਏ ਓ,
ਖੁਆਬਾਂ ਦੇ ਕੈੰਠੇ ਭੰਨ ਕੇ, 
ਤੂੰ ਘਰ ਬਣਾ ਲਿਆ ਚੰਨ ਤੇ! 💔

#लखीमपुर_किसान_नरसंहार
#FarmersProtest https://t.co/FYFFWwxRzH",['लखीमपुर_किसान_नरसंहार']
10,Pk_inc_india,|| Simple Man || Believes in Gandhi Ideology || Love @INCIndia ||,,1971,900,8669,0,@rajputmalika @myogiadityanath #लखीमपुर_किसान_नरसंहार #किसान_हत्यारी_भाजपासरकार,"['लखीमपुर_किसान_नरसंहार', 'किसान_हत्यारी_भाजपासरकार']"
11,Jaatsahab80,"जाति सिर्फ दो ही है स्त्री और पुरुष...
धर्म सिर्फ एक ही है इंसानियत, बाकी सब पाखंड और धंधा है  #किसानपुत्र","Agra, India",101,817,38752,41,"#BigUpdate
@_YogendraYadav को ""सयुक्त किसान मोर्चे"" से सस्पेंड कर दिया गया!
वह भाजपा कार्यकर्ता के घर गए थे जो #लखीमपुर_किसान_नरसंहार के लिए जिम्मेदार थे!

#FarmersProtest",['BigUpdate']
12,LaxmanD08658143,,,180,1283,209497,22604,"प्रियंका, मैं जानता हूँ तुम पीछे नहीं हटोगी- तुम्हारी हिम्मत से वे डर गए हैं। 

न्याय की इस अहिंसक लड़ाई में हम देश के अन्नदाता को जिता कर रहेंगे। 

#NoFear #लखीमपुर_किसान_नरसंहार",[]
13,TatuLalit,social worker Voices  (जय जोहार~जय भीम ~लाल सलाम)Equality Are All Humans,"Narayanpur Tatawra,  India",758,843,61945,41,"#BigUpdate
@_YogendraYadav को ""सयुक्त किसान मोर्चे"" से सस्पेंड कर दिया गया!
वह भाजपा कार्यकर्ता के घर गए थे जो #लखीमपुर_किसान_नरसंहार के लिए जिम्मेदार थे!

#FarmersProtest",['BigUpdate']
14,AjayYad80624411,जय समाजवाद,Lucknow Sultanpur,2423,926,4257,0,"इस सरकार की नीयत ओर इरादे #किसान विरोधी है, इतने ज़ुल्म के बाद भी सरकार अन्नदाता के साथ न्याय नही करना चाहतीं हैं !
#लखीमपुर_किसान_नरसंहार 
@yadavakhilesh @dimpleyadav @samajwadiparty @MPDharmendraYdv @ARajesh_SP @RajeevRai https://t.co/SUt7Yz4CcP","['किसान', 'लखीमपुर_किसान_नरसंहार']"
